Unnamed: 0,APPLICATION_USER_ID,RAPPI_RFM,PAY_RFM,FRAUD_RAPPI,FIRST_CBK_RAPPI_DATE,FRAUD_PAY,FIRST_CBK_PAY_DATE,GMV_FINISHED,GMV_CANCELED_FRAUD,GMV_CANCELED_PAY_ERROR
1800000,231512441.0,Regular,No_Pay_RFM,0,1900-01-01,0,1900-01-01,4160.3,0.0,95.5
1800001,24529457.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,4839.27,0.0,117.0
1800002,2510946317.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,245.76,264.29,0.0
1800003,201031904.0,Diamond,No_Pay_RFM,0,1900-01-01,0,1900-01-01,20116.45,0.0,429.0
1800004,2810739278.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,560.67,0.0,0.0
1800005,211341092.0,Undefined Segment RFM,No_Pay_RFM,0,1900-01-01,0,1900-01-01,0.0,4262.5,0.0
1800006,271766445.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,2684.5,504.0,0.0
1800007,2410748892.0,Potential Power,No_Pay_RFM,0,1900-01-01,0,1900-01-01,3076.0,1501.0,0.0
1800008,20598864.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,1878.0,0.0,0.0
1800009,293244732.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,2478.0,0.0,0.0
1800010,20360043.0,Regular,No_Pay_RFM,0,1900-01-01,0,1900-01-01,561.7,0.0,0.0
1800011,2411771527.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,1437.0,0.0,0.0
1800012,276843009.0,Regular,No_Pay_RFM,0,1900-01-01,0,1900-01-01,2077.0,0.0,0.0
1800013,272165960.0,Regular,No_Pay_RFM,0,1900-01-01,0,1900-01-01,1094.0,0.0,0.0
1800014,25863117.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,1496.0,0.0,0.0
1800015,248862661.0,Regular,No_Pay_RFM,0,1900-01-01,0,1900-01-01,5768.35,0.0,0.0
1800016,25181289.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,2204.15,0.0,1827.16
1800017,25542773.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,8669.02,0.0,0.0
1800018,249216257.0,Regular,No_Pay_RFM,0,1900-01-01,0,1900-01-01,542.7,220.0,0.0
1800019,27801269.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,10021.5,0.0,70.0
1800020,291572450.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,5576.7,0.0,1005.0
1800021,253316340.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,1508.25,0.0,0.0
1800022,27866079.0,Power,No_Pay_RFM,0,1900-01-01,0,1900-01-01,94493.93,0.0,5218.5
1800023,211449966.0,Regular,No_Pay_RFM,0,1900-01-01,0,1900-01-01,1292.4,0.0,0.0
1800024,27595192.0,Low Value,No_Pay_RFM,1,2019-03-29,1,2019-03-31,14967.17,25254.26,0.0
1800025,254119066.0,Potential Power,No_Pay_RFM,1,2020-04-24,0,1900-01-01,14312.98,4658.0,4169.82
1800026,2012378560.0,Low Value,No_Pay_RFM,0,1900-01-01,0,1900-01-01,1835.98,117.8,0.0
