"ENTITY_ID","START_DATE","END_DATE","STATUS","ACTIVE","PROD_DTL_ID"
3928,"01/01/2020","12/31/9999","A","Y",27849
3146,"01/01/2020","12/31/9999","A","Y",24864
3477,"01/01/2020","12/31/9999","A","Y",25008
4449,"01/01/2020","12/31/9999","A","Y",27970
5600,"01/01/2020","12/31/9999","A","Y",21193
3458,"01/01/2020","12/31/9999","A","Y",21193
2750,"01/01/2020","12/31/9999","A","Y",2912
4669,"01/01/2020","12/31/9999","A","Y",28317
4197,"01/01/2020","12/31/9999","A","Y",21382
3233,"01/01/2020","12/31/9999","A","Y",17136
3656,"01/01/2020","12/31/9999","A","Y",35200
3054,"01/01/2020","12/31/9999","A","Y",38290
4693,"01/01/2020","12/31/9999","A","Y",35601
5071,"01/01/2020","12/31/9999","A","Y",36470
5010,"01/01/2020","12/31/9999","A","Y",36874
3478,"01/01/2020","12/31/9999","A","Y",37010
5010,"01/01/2020","12/31/9999","A","Y",36070
4021,"01/01/2020","12/31/9999","A","Y",36791
3322,"01/01/2020","12/31/9999","A","Y",36082
4655,"01/01/2020","12/31/9999","A","Y",36513
3927,"01/01/2020","12/31/9999","A","Y",35885
3477,"01/01/2020","12/31/9999","A","Y",36170
4264,"01/01/2020","12/31/9999","A","Y",38492
4655,"01/01/2020","12/31/9999","A","Y",38317
5588,"01/01/2020","12/31/9999","A","Y",35961
2851,"01/01/2020","12/31/9999","A","Y",35912
4655,"01/01/2020","12/31/9999","A","Y",35747
4669,"01/01/2020","12/31/9999","A","Y",36596
4668,"01/01/2020","12/31/9999","A","Y",36854
3054,"01/01/2020","12/31/9999","A","Y",40567
3478,"01/01/2020","12/31/9999","A","Y",41105
4655,"01/01/2020","12/31/9999","A","Y",36251
5425,"01/01/2020","12/31/9999","A","Y",36452
5588,"01/01/2020","12/31/9999","A","Y",38664
3542,"01/01/2020","12/31/9999","A","Y",36539
5168,"01/01/2020","12/31/9999","A","Y",35674
2851,"01/01/2020","12/31/9999","A","Y",38463
3656,"01/01/2020","12/31/9999","A","Y",40574
3927,"01/01/2020","12/31/9999","A","Y",35025
5072,"01/01/2020","12/31/9999","A","Y",35604
