Unnamed: 0,STORE_ID,GMV_FINISHED,STORE_TYPE
0,990005355.0,53051.04800112,cine_gdl
1,1923200301.0,192439.5122810281,restaurant
2,1923200577.0,781320.8805,restaurant
3,10001213.0,6667421.143641806,restaurant
4,1306713509.0,1705498.656512,restaurant
5,990002085.0,436426.5360336501,restaurant
6,990008893.0,50802.50001240001,farmacias_benavides
7,1306702968.0,872976.9011992095,restaurant
8,990005333.0,611508.8841937564,restaurant
9,1306709101.0,1067703.877578717,heb
10,990008278.0,13553247.914357005,costco
11,94300009.0,1638054.0180969697,caja_rapida
12,1306713264.0,717425.1209343759,restaurant
13,990007208.0,822573.1302428562,restaurant
14,1923205262.0,770070.1154736844,restaurant
15,1306715989.0,18595.66,restaurant
16,1306707969.0,1795184.0088716666,restaurant
17,1306708449.0,522745.2279569418,restaurant
18,1306707639.0,198840.37445589813,restaurant
19,1923227508.0,22430.69,restaurant
20,990002493.0,1092740.3093018308,restaurant
21,1923199836.0,81583.58999999997,711_licores
22,1923203638.0,133122.31,restaurant
23,1923203886.0,92987.53640541516,restaurant
24,1923215318.0,358090.5048,restaurant
25,1923227494.0,6582.54,restaurant
26,1306708066.0,689415.9275342742,restaurant
27,1923225208.0,1515.0,restaurant
28,1923209027.0,179479.18099999995,restaurant
29,145000071.0,290056.728,heb_express
30,1306706409.0,1232146.938345146,restaurant
31,1306712156.0,245548.9702682,restaurant
32,1923201214.0,254407.6556600887,restaurant
33,1923228330.0,86676.56,restaurant
34,1923210099.0,44932.09999999999,restaurant
35,1306706247.0,374256.32868591906,restaurant
36,1306710163.0,308616.530874477,restaurant
37,990008041.0,302503.3310012,restaurant
38,900000775.0,3028377.9270305918,restaurant
39,711000170.0,141462.61,express
40,1923200831.0,623369.89,vinoteca_liquor
41,990003624.0,884898.1130543201,restaurant
42,942001344.0,17488.01,soriana_expansion
43,1923201470.0,556408.3279406779,restaurant
44,1923219758.0,4297.47,restaurant
45,990007613.0,386328.8566644036,restaurant
46,1923226793.0,54100.29,restaurant
47,1923227535.0,22497.59,heb_tiendita_noche
48,1923221962.0,98466.67,restaurant
49,1923229516.0,44631.96,restaurant
50,1923217131.0,92602.13,restaurant
51,1923220111.0,101049.94,restaurant
52,179000301.0,515764.5733530445,special_liquor
53,1923230488.0,63306.34,restaurant
54,1923222497.0,874361.6680000002,restaurant
55,1923203763.0,181069.26452268125,restaurant
56,1306705623.0,759514.9799203419,restaurant
57,1306712949.0,367465.093,restaurant
58,1923222570.0,60861.1,restaurant
59,1306708519.0,578726.5209797187,restaurant
60,1923222607.0,31512.54,restaurant
61,1306712103.0,450613.08200000005,restaurant
62,1306705466.0,184291.74,restaurant
63,1306703415.0,496515.021514,restaurant
64,990006428.0,801701.700025872,restaurant
65,1306703309.0,334533.8740850092,restaurant
66,1923212731.0,174189.86545584473,cerveza_artesanal
67,10000642.0,1100715.4651608004,restaurant
68,1923201728.0,46211.55000000001,restaurant
69,160194932.0,97173.9200361,soriana_liquor
70,1923204157.0,185120.05034000002,restaurant
71,1306704136.0,46531.86000045001,restaurant
72,1306712062.0,867152.87,restaurant
