"ENTITY_ID","PROD_DTL_ID","SOURCE_ENTITY_ID","START_DATE","END_DATE","STATUS"
6851,17137,,"07/29/2020","12/31/9999","A"
6851,29119,,"07/29/2020","12/31/9999","A"
6851,11834,,"07/29/2020","12/31/9999","A"
6851,31421,,"07/29/2020","12/31/9999","A"
6851,11836,,"07/29/2020","12/31/9999","A"
6851,11835,,"07/29/2020","12/31/9999","A"
6851,11837,,"07/29/2020","12/31/9999","A"
6851,11830,,"07/29/2020","12/31/9999","A"
6851,20759,,"07/29/2020","12/31/9999","A"
6851,20758,,"07/29/2020","12/31/9999","A"
6851,32742,,"07/29/2020","12/31/9999","A"
6851,27385,,"07/29/2020","12/31/9999","A"
6851,11807,,"07/29/2020","12/31/9999","A"
6851,32749,,"07/29/2020","12/31/9999","A"
6851,32746,,"07/29/2020","12/31/9999","A"
6851,32744,,"07/29/2020","12/31/9999","A"
6851,20764,,"07/29/2020","12/31/9999","A"
6851,20763,,"07/29/2020","12/31/9999","A"
6851,20762,,"07/29/2020","12/31/9999","A"
6851,20761,,"07/29/2020","12/31/9999","A"
6851,20760,,"07/29/2020","12/31/9999","A"
6851,20766,,"07/29/2020","12/31/9999","A"
6851,20765,,"07/29/2020","12/31/9999","A"
6851,11812,,"07/29/2020","12/31/9999","A"
6851,11811,,"07/29/2020","12/31/9999","A"
6851,11813,,"07/29/2020","12/31/9999","A"
6851,11816,,"07/29/2020","12/31/9999","A"
6851,11818,,"07/29/2020","12/31/9999","A"
6851,11817,,"07/29/2020","12/31/9999","A"
6851,24302,,"07/29/2020","12/31/9999","A"
6851,24306,,"07/29/2020","12/31/9999","A"
6851,6638,,"07/29/2020","12/31/9999","A"
6851,25615,,"07/29/2020","12/31/9999","A"
6851,14960,,"07/29/2020","12/31/9999","A"
6851,26927,,"07/29/2020","12/31/9999","A"
6851,30164,,"07/29/2020","12/31/9999","A"
6851,17196,,"07/29/2020","12/31/9999","A"
6851,23870,,"07/29/2020","12/31/9999","A"
6851,30151,,"07/29/2020","12/31/9999","A"
6851,9741,,"07/29/2020","12/31/9999","A"
6851,24259,,"07/29/2020","12/31/9999","A"
6851,24253,,"07/29/2020","12/31/9999","A"
6851,30928,,"07/29/2020","12/31/9999","A"
6851,28625,,"07/29/2020","12/31/9999","A"
6851,28628,,"07/29/2020","12/31/9999","A"
6851,28626,,"07/29/2020","12/31/9999","A"
6851,28627,,"07/29/2020","12/31/9999","A"
6851,29957,,"07/29/2020","12/31/9999","A"
6851,29923,,"07/29/2020","12/31/9999","A"
6851,29921,,"07/29/2020","12/31/9999","A"
6851,26897,,"07/29/2020","12/31/9999","A"
6851,4085,,"07/29/2020","12/31/9999","A"
6851,4081,,"07/29/2020","12/31/9999","A"
6851,29919,,"07/29/2020","12/31/9999","A"
6851,21163,,"07/29/2020","12/31/9999","A"
6851,21162,,"07/29/2020","12/31/9999","A"
6851,24201,,"07/29/2020","12/31/9999","A"
6851,38021,,"07/29/2020","12/31/9999","A"
6851,40344,,"07/29/2020","12/31/9999","A"
6851,40348,,"07/29/2020","12/31/9999","A"
6851,40346,,"07/29/2020","12/31/9999","A"
6851,18414,,"07/29/2020","12/31/9999","A"
6851,27374,,"07/29/2020","12/31/9999","A"
6851,38018,,"07/29/2020","12/31/9999","A"
6851,40324,,"07/29/2020","12/31/9999","A"
6851,40305,,"07/29/2020","12/31/9999","A"
6851,29981,,"07/29/2020","12/31/9999","A"
6851,29985,,"07/29/2020","12/31/9999","A"
6851,30989,,"07/29/2020","12/31/9999","A"
6851,15349,,"07/29/2020","12/31/9999","A"
6851,24279,,"07/29/2020","12/31/9999","A"
6851,30967,,"07/29/2020","12/31/9999","A"
6851,30963,,"07/29/2020","12/31/9999","A"
6851,30962,,"07/29/2020","12/31/9999","A"
6852,23966,,"07/29/2020","12/31/9999","A"
6852,38444,,"07/29/2020","12/31/9999","A"
6852,26456,,"07/29/2020","12/31/9999","A"
6852,2770,,"07/29/2020","12/31/9999","A"
6852,25127,,"07/29/2020","12/31/9999","A"
6852,8070,,"07/29/2020","12/31/9999","A"
6852,25126,,"07/29/2020","12/31/9999","A"
6852,25129,,"07/29/2020","12/31/9999","A"
6852,25128,,"07/29/2020","12/31/9999","A"
6852,40768,,"07/29/2020","12/31/9999","A"
6852,8074,,"07/29/2020","12/31/9999","A"
6852,25121,,"07/29/2020","12/31/9999","A"
6852,25123,,"07/29/2020","12/31/9999","A"
6852,26454,,"07/29/2020","12/31/9999","A"
6852,27782,,"07/29/2020","12/31/9999","A"
6852,25122,,"07/29/2020","12/31/9999","A"
6852,17505,,"07/29/2020","12/31/9999","A"
6852,38445,,"07/29/2020","12/31/9999","A"
6852,38446,,"07/29/2020","12/31/9999","A"
6852,17507,,"07/29/2020","12/31/9999","A"
6852,38447,,"07/29/2020","12/31/9999","A"
6852,17510,,"07/29/2020","12/31/9999","A"
6852,38430,,"07/29/2020","12/31/9999","A"
6852,40751,,"07/29/2020","12/31/9999","A"
6852,38431,,"07/29/2020","12/31/9999","A"
6852,40750,,"07/29/2020","12/31/9999","A"
6852,25135,,"07/29/2020","12/31/9999","A"
6852,8080,,"07/29/2020","12/31/9999","A"
6852,25138,,"07/29/2020","12/31/9999","A"
6852,27791,,"07/29/2020","12/31/9999","A"
6852,27792,,"07/29/2020","12/31/9999","A"
6852,25130,,"07/29/2020","12/31/9999","A"
6852,25132,,"07/29/2020","12/31/9999","A"
6852,27795,,"07/29/2020","12/31/9999","A"
6852,25131,,"07/29/2020","12/31/9999","A"
6852,27796,,"07/29/2020","12/31/9999","A"
6852,25134,,"07/29/2020","12/31/9999","A"
6852,27793,,"07/29/2020","12/31/9999","A"
6852,25133,,"07/29/2020","12/31/9999","A"
6852,27794,,"07/29/2020","12/31/9999","A"
6852,31804,,"07/29/2020","12/31/9999","A"
6852,17515,,"07/29/2020","12/31/9999","A"
6852,21780,,"07/29/2020","12/31/9999","A"
