Unnamed: 0,APPLICATION_USER_ID,LAT,LNG,GEOHASH,GMV_FINISHED,GMV_CANCELED_FRAUD,N_ORDERS
6000070,216137038,19.307702399999997,-99.13447679999999,9g3tb4u,406.0,0.0,3
6000071,281097368,21.063040920808,-89.64479338377701,d58rb46,0.0,0.0,1
6000072,26122004,20.646500399999997,-100.4423869,9g8t6qs,333.57,0.0,1
6000073,282511931,25.644928,-100.294187,9u89vu8,367.5,0.0,1
6000074,208226446,19.4239816,-99.22593940000002,9g3qw01,332.8,0.0,1
6000075,275015004,19.4117507,-99.16803829999999,9g3qrmu,0.0,310.0,2
6000076,21723280,20.719035,-103.39057,9ewmz7c,188.0,0.0,1
6000077,271217447,25.640045,-100.28619499999999,9u89vgt,121.95,0.0,1
6000078,275728595,19.2882618,-99.1386287,9g3t8p3,276.31,0.0,1
6000079,26453249,19.421854999999997,-99.18713699999999,9g3qqzw,0.0,0.0,1
6000080,28855173,19.321668,-99.195444,9g3myv2,270.0,0.0,1
6000081,29799342,19.422590337347,-99.17541526257999,9g3qrpy,152.05,0.0,2
6000082,263329559,25.745182999999997,-100.305628,9u8dmqz,223.0,0.0,1
6000083,291066187,21.03804,-89.66851899999999,d58pxtc,200.0,0.0,1
6000084,233579462,19.376345,-99.255512,9g3qjrk,223.0,0.0,1
6000085,252710421,19.6596357,-101.1584454,9g2pf4f,168.0,0.0,1
6000086,24687768,19.327629100000003,-99.2131563,9g3myq7,0.0,0.0,1
6000087,292085922,19.425881699999998,-99.1780734,9g3qx0k,178.5,0.0,1
6000088,272103618,21.0136706,-89.5651723,d58r9ck,0.0,373.49,2
6000089,2926818,19.4111,-99.17701,9g3qrjt,60.0,0.0,1
6000090,208728531,19.432018600000003,-99.1250108,9g3w837,1184.0,0.0,5
6000091,23926214,25.462097,-101.000148,9u80vej,320.0,0.0,1
6000092,2911673874,19.461062,-99.239008,9g3qtyb,176.27,0.0,1
6000093,224813552,25.5694864,-103.42701109999999,9sw3qqy,284.0,0.0,1
6000094,25131247,19.398739000000003,-99.14987099999999,9g3qrg3,55.95,0.0,1
6000095,242512682,18.937801899999997,-99.2350417,9g37tze,311.71,0.0,1
6000096,231164061,18.938551800000003,-99.2072657,9g37wrx,169.3,0.0,1
6000097,213505877,19.425947,-99.14589699999999,9g3qxbk,169.0,0.0,1
6000098,28230460,19.384542,-99.265295,9g3qm0v,1790.0,0.0,2
6000099,273290673,20.681198600000002,-103.3624115,9ewmxuv,112.0,0.0,1
6000100,2741273,20.602694800000002,-103.41045279999999,9ewmnyd,260.29,0.0,1
6000101,20298232,19.392869,-99.152709,9g3qrdr,290.0,0.0,1
6000102,283841751,20.761189,-103.426252,9ewqn7r,206.0,0.0,1
6000103,241036046,18.9975882,-98.273754,9g6h5dr,903.69,0.0,1
6000104,284845162,19.332248100000005,-99.16089649999999,9g3mzx3,127.0,0.0,1
6000105,221486808,19.047741000000002,-98.211188,9g6hm5s,90.0,0.0,2
6000106,228182149,18.9494728,-99.23167140000001,9g37vct,346.0,0.0,1
6000107,32209628,25.62428,-100.38539300000001,9u89g8v,400.0,0.0,1
6000108,24906022,19.386983999999998,-99.165935,9g3qr3m,420.07,0.0,1
6000109,291124028,19.386597000000002,-99.18355,9g3qr10,397.36,0.0,1
6000110,25151998,19.437598,-99.152638,9g3qxdx,329.0,0.0,1
6000111,20620175,19.425555692604,-99.262927978788,9g3qt0q,345.0,0.0,1
6000112,282118091,19.408313,-99.24706,9g3qmt4,0.0,0.0,1
6000113,26549166,20.71155,-103.323431,9ewtbf6,125.07,0.0,1
6000114,25550270,19.403021047236,-99.27520383149401,9g3qkun,123.0,0.0,1
6000115,293199744,22.1686539,-101.01951170000001,9gbnj5x,135.0,0.0,1
6000116,262730868,19.307219,-99.180449,9g3mz4g,238.0,0.0,2
6000117,202667426,25.738193,-100.26131099999999,9u8dqmr,94.0,0.0,1
6000118,275019059,20.608620499999997,-100.4408176,9g8t4rt,148.0,0.0,1
6000119,2666934,19.395018,-99.172302,9g3qr6b,25.0,0.0,1
6000120,12898500,20.656582999999998,-103.439894,9ewmw0m,125.0,0.0,1
6000121,243411752,19.428086999999998,-99.19817900000001,9g3qw8y,358.0,0.0,1
6000122,173029918,19.432898100000003,-99.14345970000001,9g3qxct,485.0,0.0,1
6000123,201738049,20.762522002584,-103.401457853615,9ewqp59,321.0,0.0,1
6000124,236065080,19.378503,-99.26895,9g3qjpd,299.0,0.0,1
6000125,28572940,25.632906,-100.33828000000001,9u89udr,197.0,0.0,1
6000126,201391441,25.695981,-100.243315,9u8dnvv,246.0,0.0,1
6000127,2115237,19.404095,-99.171066,9g3qrk3,167.0,0.0,1
6000128,227304993,19.4178204,-99.1636267,9g3qrqz,169.0,0.0,2
6000129,22303280,19.438151,-99.165576,9g3qx6t,320.0,0.0,1
6000130,2968413,19.418882,-99.17711,9g3qrpj,575.0,0.0,1
6000131,2640467,19.41522,-99.168243,9g3qrq7,113.0,0.0,1
6000132,20461456,19.416098,-99.17465200000001,9g3qrnx,0.0,0.0,2
6000133,22670741,20.655928,-103.411284,9ewmwb6,368.21,0.0,2
6000134,281123721,21.043109458872003,-89.624308682978,d58r8wc,0.0,642.0,1
6000135,101152418,19.4294751,-99.20070030000001,9g3qw9h,306.41,0.0,1
6000136,137041598,19.386336,-99.19377800000001,9g3qqc1,172.0,0.0,1
6000137,225163598,19.530010100000002,-99.2084101,9g3rn7q,608.0,0.0,1
6000138,214038565,20.554776537603,-100.45106548816,9g8sfjv,203.0,0.0,1
6000139,21333115,19.422676,-99.158493,9g3qrxf,125.5,0.0,1
6000140,256322213,22.165012,-101.000791,9gbnjej,219.0,0.0,2
6000141,201414396,20.590269580647,-100.3948745504,9g8t5kq,349.0,0.0,1
