"ENTITY_ID","ADDRESS_LINE_1","ADDRESS_LINE_2","ADDRESS_LINE_3","CITY_NAME","STATE_CD","POSTAL_CODE_1","ADDRESS_LATITUDE","ADDRESS_LONGITUDE"
2931,"425 37TH ST","","","PENNSAUKEN","NJ","08110",39.964849,-75.082315
6526,"425 37TH ST","","","PENNSAUKEN","NJ","08110",39.964849,-75.082315
6520,"425 37TH ST","","","PENNSAUKEN","NJ","08110",39.964849,-75.082315
6512,"425 37TH ST","","","PENNSAUKEN","NJ","08110",39.964849,-75.082315
6623,"425 37TH ST","","","PENNSAUKEN","NJ","08110",39.964849,-75.082315
6619,"425 37TH ST","","","PENNSAUKEN","NJ","08110",39.964849,-75.082315
6900,"101 NOSTRAND AVENUE","","","BROOKLYN","NY","11210",40.696284,-73.952723
6661,"53 ROURKE RD","UNIT 3","","ETNA","WY","83128",,
5581,"939 W BOEING","","","BOISE","ID","83705",43.56273,-116.19112
5681,"3475 S 300 W","","","SALT LAKE CITY","UT","84115",40.695749,-111.899752
6893,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6885,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6891,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6890,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6888,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6889,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6892,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6863,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6860,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6904,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6898,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6887,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6867,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6886,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6862,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6859,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6894,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6895,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6861,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6897,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
6896,"1373 N OAKLAND AVE","","","FLORENCE","SC","29506",34.214376,-79.749634
